Amount,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation,Transaction_Hour,Transaction_Day,Transaction_Month,High_Value_Transaction,Low_Balance,Type_Deposit,Type_Transfer,Type_Withdrawal,Location_California,Location_Florida,Location_New York,Location_Texas,Transaction_Weekday_Friday,Transaction_Weekday_Monday,Transaction_Weekday_Saturday,Transaction_Weekday_Sunday,Transaction_Weekday_Thursday,Transaction_Weekday_Wednesday
9779.6,1716.59,0,1,0,0,0,9,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8462.23,2083.72,0,0,0,0,1,16,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4548.84,2052.64,1,1,0,1,0,12,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7751.65,2772.69,0,0,0,1,0,5,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1931.19,3052.78,0,1,0,1,0,23,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
5623.8,2688.61,0,1,0,0,0,9,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
747.12,2495.55,0,1,0,1,0,6,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3481.54,3680.56,0,1,0,1,0,9,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2259.4,1993.35,0,1,1,1,0,15,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
7189.38,3511.23,0,0,0,1,0,14,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
4901.42,4826.67,0,0,0,0,0,12,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7510.95,2887.09,0,1,0,0,0,23,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
5153.44,3044.79,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
865.76,3913.11,0,1,0,0,0,8,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
7353.94,3029.58,0,1,0,1,1,11,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
8332.46,1575.63,0,1,0,1,0,0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
9035.41,3442.81,0,1,0,1,0,5,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5720.35,3035.09,0,1,0,0,0,5,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
7536.1,4805.91,0,1,0,0,0,11,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7520.69,1372.01,0,1,0,1,0,19,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1558.34,3145.87,0,0,0,1,0,18,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1643.04,3467.72,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
709.78,3479.58,0,1,0,0,0,17,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3199.82,1238.8,0,1,0,1,0,5,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
4735.61,2311.32,1,1,0,1,1,18,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
9978.98,2050.17,0,1,0,0,0,22,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
4310.5,3719.95,1,1,0,1,0,7,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
7262.7,3941.65,0,0,0,1,0,2,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
6934.28,1837.08,0,0,0,1,0,4,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2045.62,4304.32,0,1,0,0,0,17,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
586.01,2940.14,0,1,0,1,0,11,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5460.52,2051.84,0,1,1,1,1,3,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
7003.36,2199.01,0,1,0,1,1,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
9982.52,2054.15,0,1,0,0,1,21,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3586.75,3417.77,0,1,0,1,0,9,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
8963.75,3108.26,0,0,0,1,0,23,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3819.94,4754.92,0,1,0,1,0,15,6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
6894.43,2094.76,0,1,0,1,0,13,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5982.93,2276.71,0,1,0,1,0,18,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
530.73,1025.91,0,1,0,1,0,19,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
784.81,2193.35,0,1,0,1,0,0,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
208.62,2003.52,0,1,0,1,0,10,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3708.97,2607.98,0,1,0,1,0,17,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
7458.26,2982.56,0,1,0,1,0,12,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1728.38,3681.0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
6058.92,1767.55,0,1,0,0,0,10,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2888.99,3225.68,1,0,0,1,1,5,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
7970.13,3914.57,0,0,0,1,0,18,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7984.16,1964.73,0,1,0,1,0,12,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
