Amount,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation,Transaction_Hour,Transaction_Day,Transaction_Month,High_Value_Transaction,Low_Balance,Amount_to_Balance_Ratio,Amount_Percent_of_Balance,Spending_Deviation_Amount,Location_Deviation,Unusual_Hour,High_Amount_Unusual_Hour,Location_Deviation_High_Amount,Type_Deposit,Type_Transfer,Type_Withdrawal,Location_California,Location_Florida,Location_New York,Location_Texas,Transaction_Weekday_Friday,Transaction_Weekday_Monday,Transaction_Weekday_Saturday,Transaction_Weekday_Sunday,Transaction_Weekday_Thursday,Transaction_Weekday_Wednesday
9779.6,1716.59,0,1,0,0,0,9,2,1,0,0,5.697108802917413,569.7108802917412,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8462.23,2083.72,0,0,0,0,1,16,2,1,0,0,4.061116656748507,406.1116656748507,8462.23,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4548.84,2052.64,1,1,0,1,0,12,2,1,0,0,2.2160924468002183,221.60924468002185,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7751.65,2772.69,0,0,0,1,0,5,5,1,0,0,2.795714630917989,279.57146309179893,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1931.19,3052.78,0,1,0,1,0,23,3,1,0,0,0.6326004494264245,63.260044942642445,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
5623.8,2688.61,0,1,0,0,0,9,2,1,0,0,2.091712818147667,209.17128181476676,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
747.12,2495.55,0,1,0,1,0,6,2,1,0,0,0.2993808979984372,29.93808979984372,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3481.54,3680.56,0,1,0,1,0,9,3,1,0,0,0.945926706805486,94.5926706805486,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2259.4,1993.35,0,1,1,1,0,15,1,1,0,0,1.133468783705822,113.3468783705822,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
7189.38,3511.23,0,0,0,1,0,14,2,1,0,0,2.047538896625969,204.7538896625969,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
4901.42,4826.67,0,0,0,0,0,12,6,1,0,0,1.015486867757688,101.5486867757688,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7510.95,2887.09,0,1,0,0,0,23,5,1,0,0,2.60156420478752,260.15642047875195,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
5153.44,3044.79,1,1,0,0,0,0,2,1,0,0,1.6925436565411736,169.25436565411735,0.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
865.76,3913.11,0,1,0,0,0,8,5,1,0,0,0.2212460165954956,22.124601659549565,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
7353.94,3029.58,0,1,0,1,1,11,5,1,0,0,2.4273793727183306,242.73793727183303,7353.94,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
8332.46,1575.63,0,1,0,1,0,0,3,1,0,0,5.288335459467006,528.8335459467006,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
9035.41,3442.81,0,1,0,1,0,5,3,1,0,0,2.624428882221209,262.44288822212087,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5720.35,3035.09,0,1,0,0,0,5,4,1,0,0,1.884738179098478,188.4738179098478,0.0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
7536.1,4805.91,0,1,0,0,0,11,1,1,0,0,1.568090122370165,156.8090122370165,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7520.69,1372.01,0,1,0,1,0,19,4,1,0,0,5.481512525418911,548.151252541891,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
