transaction_id,user_id,amount,timestamp,location,device_type,merchant_category,is_fraud
TXN_001936,USR_0462,80.56,2026-01-05 15:10:42,"London, UK",Desktop,Electronics,0
TXN_006495,USR_0160,29.06,2026-04-01 18:10:50,"Tokyo, JP",Mobile,Electronics,0
TXN_001721,USR_0422,105.54,2026-02-14 18:50:25,"Paris, FR",POS,Electronics,0
TXN_009121,USR_0331,16.73,2026-01-13 16:39:17,Online,Desktop,Travel,0
TXN_000361,USR_0048,15.02,2026-03-06 14:41:10,Online,POS,Retail,0
TXN_009664,USR_0415,77.2,2026-03-02 04:44:31,"London, UK",Desktop,Travel,0
TXN_005278,USR_0076,150.55,2026-01-26 01:18:57,"Paris, FR",Desktop,Travel,0
TXN_008547,USR_0246,111.6,2026-01-13 16:03:25,"Paris, FR",Desktop,Electronics,0
TXN_002222,USR_0171,50.81,2026-03-18 12:06:52,"Tokyo, JP",POS,Retail,0
TXN_004618,USR_0210,62.9,2026-02-21 10:00:16,"Tokyo, JP",Mobile,Travel,0
TXN_003466,USR_0320,22.83,2026-03-19 09:34:18,Online,Mobile,Retail,0
TXN_001409,USR_0050,33.97,2026-01-10 05:42:48,Online,Desktop,Retail,0
TXN_000469,USR_0161,140.75,2026-02-22 10:02:36,"London, UK",POS,Retail,0
TXN_001176,USR_0201,113.99,2026-01-24 17:44:58,"Tokyo, JP",Desktop,Retail,0
TXN_005225,USR_0108,37.71,2026-03-02 19:54:53,"New York, US",Desktop,Retail,0
TXN_008129,USR_0482,125.85,2026-03-27 15:46:15,"Paris, FR",Mobile,Grocery,0
TXN_000425,USR_0061,40.28,2026-03-01 09:19:10,"Paris, FR",POS,Travel,0
TXN_007048,USR_0315,26.23,2026-01-28 02:33:19,"Tokyo, JP",Desktop,Travel,0
TXN_002484,USR_0234,2.72,2026-03-17 15:36:44,"Paris, FR",POS,Retail,0
TXN_001826,USR_0243,84.6,2026-02-13 13:38:27,"Tokyo, JP",Desktop,Electronics,0
TXN_010558,USR_0330,14.91,2026-01-31 08:35:17,"Paris, FR",POS,Grocery,0
TXN_001484,USR_0231,142.0,2026-02-01 17:23:37,"Paris, FR",Mobile,Grocery,0
TXN_009291,USR_0415,141.95,2026-03-22 21:05:37,"New York, US",Desktop,Grocery,0
TXN_009710,USR_0378,29.57,2026-01-31 12:48:47,"Tokyo, JP",Desktop,Travel,0
TXN_001651,USR_0253,29.48,2026-01-22 14:35:12,Online,POS,Electronics,0
TXN_009787,USR_0041,61.41,2026-03-20 10:01:21,"London, UK",Mobile,Travel,0
TXN_002814,USR_0477,80.41,2026-03-30 20:25:18,Online,Desktop,Grocery,0
TXN_003705,USR_0129,41.2,2026-01-23 08:03:18,"Paris, FR",Desktop,Electronics,0
TXN_006119,USR_0387,7.87,2026-02-19 13:09:32,Online,Desktop,Electronics,0
TXN_005043,USR_0416,24.36,2026-01-12 20:19:38,"New York, US",Mobile,Retail,0
TXN_011209,USR_0041,183.74,2026-01-09 05:13:00,"New York, US",POS,Grocery,0
TXN_007239,USR_0168,31.05,2026-03-19 13:06:58,"Paris, FR",Desktop,Grocery,0
TXN_011506,USR_0232,22.49,2026-03-27 08:06:07,"New York, US",Mobile,Grocery,0
TXN_011075,USR_0241,20.18,2026-01-14 22:22:30,"Tokyo, JP",Desktop,Grocery,0
TXN_010997,USR_0185,44.06,2026-01-11 07:40:12,"New York, US",POS,Retail,0
TXN_005000,USR_0499,38.87,2026-02-08 10:51:49,"Tokyo, JP",Desktop,Retail,0
TXN_008481,USR_0454,149.56,2026-03-05 21:10:55,"Paris, FR",Desktop,Travel,0
TXN_009268,USR_0481,28.49,2026-03-28 10:55:46,Online,Desktop,Grocery,0
TXN_008399,USR_0480,15.69,2026-02-12 11:14:28,Online,POS,Retail,0
TXN_002632,USR_0280,20.67,2026-03-26 20:16:35,Online,Desktop,Electronics,0
TXN_003132,USR_0496,175.9,2026-01-20 18:59:52,"Paris, FR",Desktop,Electronics,0
TXN_009584,USR_0345,2.1,2026-01-22 10:35:45,Online,Mobile,Travel,0
TXN_008219,USR_0224,15.69,2026-03-30 08:10:08,"London, UK",Desktop,Travel,0
TXN_009277,USR_0235,118.4,2026-01-05 13:38:22,"Paris, FR",Desktop,Grocery,0
TXN_003814,USR_0215,3.05,2026-01-10 17:24:59,Online,Desktop,Grocery,0
TXN_005887,USR_0106,16.35,2026-03-12 13:52:41,Online,Mobile,Electronics,0
TXN_005083,USR_0136,5.79,2026-03-16 20:32:27,"Paris, FR",Mobile,Grocery,0
TXN_011816,USR_0378,4726.36,2026-03-06 00:33:31,"Moscow, RU",ATM,Electronics,1
TXN_008824,USR_0395,23.21,2026-01-23 21:26:32,"Tokyo, JP",POS,Retail,0
TXN_001218,USR_0316,6.4,2026-02-05 12:17:54,"Tokyo, JP",Mobile,Electronics,0
TXN_003992,USR_0348,28.32,2026-03-13 14:40:11,"New York, US",Desktop,Electronics,0
TXN_011148,USR_0487,66.14,2026-02-18 15:36:58,"Paris, FR",Desktop,Retail,0
TXN_007616,USR_0221,150.85,2026-02-20 19:24:38,"Tokyo, JP",POS,Travel,0
TXN_010692,USR_0069,15.18,2026-03-17 19:14:01,"Paris, FR",POS,Grocery,0
TXN_010185,USR_0465,12.17,2026-02-03 11:04:06,"New York, US",Mobile,Electronics,0
TXN_001684,USR_0097,40.44,2026-03-27 14:30:44,"Paris, FR",POS,Electronics,0
TXN_004575,USR_0068,25.2,2026-01-01 22:51:34,"New York, US",Desktop,Travel,0
TXN_011541,USR_0085,19.14,2026-03-28 07:10:37,"Tokyo, JP",Desktop,Retail,0
TXN_010751,USR_0329,63.36,2026-03-28 14:22:01,Online,Desktop,Electronics,0
TXN_011284,USR_0083,27.59,2026-03-17 13:38:55,"Paris, FR",POS,Grocery,0
TXN_007563,USR_0475,43.81,2026-01-14 15:18:29,"New York, US",Mobile,Retail,0
TXN_005904,USR_0056,12.85,2026-03-17 19:39:05,"Paris, FR",Mobile,Grocery,0
TXN_002583,USR_0300,10.21,2026-01-02 08:16:23,Online,POS,Travel,0
TXN_003003,USR_0037,41.4,2026-01-09 21:16:28,"New York, US",Desktop,Grocery,0
TXN_010044,USR_0042,155.14,2026-03-29 11:30:38,"New York, US",POS,Retail,0
TXN_002088,USR_0220,34.45,2026-02-17 11:11:35,Online,Mobile,Travel,0
TXN_008929,USR_0460,57.33,2026-03-10 15:15:12,"Tokyo, JP",Desktop,Grocery,0
TXN_004149,USR_0371,9.15,2026-01-17 15:13:18,"London, UK",Mobile,Travel,0
TXN_000136,USR_0389,5.12,2026-01-31 14:44:30,"Paris, FR",Desktop,Grocery,0
TXN_009918,USR_0169,165.68,2026-02-26 03:21:14,"Paris, FR",POS,Grocery,0
TXN_001744,USR_0467,38.23,2026-03-14 10:56:31,"Paris, FR",Desktop,Travel,0
