Feature,Unique Values,Normal Mean,Suspicious Mean,Normal Median,Suspicious Median,Normal Std,Suspicious Std,Mean Difference,Absolute Mean Difference,Standardized Difference,Normal Positive Rate,Suspicious Positive Rate,Positive Rate Difference,Raw ROC-AUC,Directional ROC-AUC
Transaction_Hour,24,11.529516397998888,11.908457711442786,12.0,13.0,6.948337849119219,6.830006016156195,0.3789413134438977,0.3789413134438977,0.05500332158130941,,,,0.5156419127265286,0.5156419127265286
Amount_to_Balance_Ratio,10000,2.0243129359699434,2.089763102413557,1.674373779303826,1.7739873080514217,1.6295476840433196,1.6422385938873736,0.06545016644361334,0.06545016644361334,0.04000852654414603,,,,0.5156394790914798,0.5156394790914798
Unusual_Hour,2,0.3302946081156198,0.3054726368159204,0.0,0.0,0.4703452712084535,0.46083665091030207,-0.024821971299699375,0.024821971299699375,-0.05331004972988169,0.3302946081156198,0.3054726368159204,-0.024821971299699375,0.48758901435015034,0.5124109856498497
Account Balance,9884,2989.8646403557527,2943.659223880597,2978.88,2923.51,1158.1986672979197,1172.634959463078,-46.205416475155744,46.205416475155744,-0.039646356333209634,,,,0.4884314945561244,0.5115685054438757
Location_Florida,2,0.2482490272373541,0.27064676616915423,0.0,0.0,0.43202106113302746,0.44451513448122165,0.022397738931800137,0.022397738931800137,0.051099918223644,0.2482490272373541,0.27064676616915423,0.022397738931800137,0.5111988694659001,0.5111988694659001
Login Location Match,2,0.7052807115063925,0.6875621890547263,1.0,1.0,0.45594181693208896,0.46371800677132247,-0.017718522451666163,0.017718522451666163,-0.03853139743809445,0.7052807115063925,0.6875621890547263,-0.017718522451666163,0.4911407387741669,0.5088592612258331
Location_Deviation,2,0.29471928849360757,0.3124378109452736,0.0,0.0,0.4559418169320889,0.46371800677132236,0.017718522451666052,0.017718522451666052,0.03853139743809422,0.29471928849360757,0.3124378109452736,0.017718522451666052,0.508859261225833,0.508859261225833
Spending_Deviation_Amount,1990,978.3318143413007,1100.2073233830845,0.0,0.0,2347.687506253313,2509.800018713039,121.87550904178374,121.87550904178374,0.050152549936056716,,,,0.506844930433989,0.506844930433989
Location_California,2,0.24769316286826015,0.23482587064676616,0.0,0.0,0.4316966276603045,0.42410098789748263,-0.012867292221493992,0.012867292221493992,-0.030069692201047625,0.24769316286826015,0.23482587064676616,-0.012867292221493992,0.49356635388925296,0.506433646110747
Amount,9952,4996.938237909951,5052.497014925373,5014.87,5134.43,2870.2141292825363,2835.8297670670413,55.55877701542249,55.55877701542249,0.019473305611847017,,,,0.505539617089649,0.505539617089649
Spending Pattern Deviation,2,0.19788771539744301,0.208955223880597,0.0,0.0,0.39842918532753596,0.40676476333907957,0.011067508483153993,0.011067508483153993,0.027488819309976115,0.19788771539744301,0.208955223880597,0.011067508483153993,0.505533754241577,0.505533754241577
Known Threat Flag,2,0.05069483046136743,0.04079601990049751,0.0,0.0,0.21938599636308653,0.19791584186777642,-0.009898810560869914,0.009898810560869914,-0.047379302252096654,0.05069483046136743,0.04079601990049751,-0.009898810560869914,0.49505059471956503,0.504949405280435
Type_Deposit,2,0.34485825458588104,0.354228855721393,0.0,0.0,0.47534846063221514,0.47851709782570767,0.009370601135511969,0.009370601135511969,0.01964752653192042,0.34485825458588104,0.354228855721393,0.009370601135511969,0.5046853005677561,0.5046853005677561
Type_Withdrawal,2,0.3235130628126737,0.3164179104477612,0.0,0.0,0.4678425954884161,0.46530963053491364,-0.007095152364912538,0.007095152364912538,-0.015206792693462385,0.3235130628126737,0.3164179104477612,-0.007095152364912538,0.49645242381754373,0.5035475761824563
Location_Texas,2,0.25058365758754864,0.24477611940298508,0.0,0.0,0.4333732430345226,0.430168449617913,-0.00580753818456356,0.00580753818456356,-0.013450417600740387,0.25058365758754864,0.24477611940298508,-0.00580753818456356,0.49709623090771826,0.5029037690922817
Transaction_Day,6,3.5067259588660367,3.4895522388059703,4.0,3.0,1.6992700456247007,1.6493208485499768,-0.017173720060066344,0.017173720060066344,-0.010256140766513343,,,,0.497136054026698,0.502863945973302
Location_New York,2,0.2534741523068371,0.24975124378109453,0.0,0.0,0.4350241894951343,0.43308450567380774,-0.0037229085257425854,0.0037229085257425854,-0.008577034772901566,0.2534741523068371,0.24975124378109453,-0.0037229085257425854,0.49813854573712874,0.5018614542628712
Type_Transfer,2,0.33162868260144523,0.32935323383084575,0.0,0.0,0.47082453611400726,0.47021237848282565,-0.0022754487705994864,0.0022754487705994864,-0.004836044694645191,0.33162868260144523,0.32935323383084575,-0.0022754487705994864,0.4988622756147003,0.5011377243852997
User Device Recognition,2,0.7992217898832685,0.7980099502487562,1.0,1.0,0.4006047452845996,0.40168472392010923,-0.001211839634512324,0.001211839634512324,-0.003020950873911423,0.7992217898832685,0.7980099502487562,-0.001211839634512324,0.49939408018274384,0.5006059198172561
Transaction_Month,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,
High_Value_Transaction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Low_Balance,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
High_Amount_Unusual_Hour,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Location_Deviation_High_Amount,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
