Feature,Normal Mean,Suspicious Mean,Normal Median,Suspicious Median,Mean Difference,Absolute Mean Difference
Spending_Deviation_Amount,983.2697317954418,1077.1192164179104,0.0,0.0,93.8494846224686,93.8494846224686
Amount,4977.050749027238,5021.051592039801,5008.3099999999995,5085.305,44.000843012562655,44.000843012562655
Account Balance,2991.844669260701,2964.075111940298,2981.505,2959.415,-27.769557320402782,27.769557320402782
Amount_Percent_of_Balance,201.660596741937,205.58657399927034,166.16999960909692,173.63927827732368,3.9259772573333294,3.9259772573333294
Transaction_Hour,11.58254585881045,11.971393034825871,12.0,13.0,0.38884717601542107,0.38884717601542107
Amount_to_Balance_Ratio,2.01660596741937,2.0558657399927034,1.6616999960909693,1.7363927827732368,0.03925977257333324,0.03925977257333324
Transaction_Weekday_Friday,0.16620344635908837,0.19776119402985073,0.0,0.0,0.03155774767076236,0.03155774767076236
Unusual_Hour,0.32962757087270705,0.2997512437810945,0.0,0.0,-0.02987632709161253,0.02987632709161253
Location_California,0.24833240689271818,0.22388059701492538,0.0,0.0,-0.0244518098777928,0.0244518098777928
Transaction_Weekday_Sunday,0.16717620900500277,0.14925373134328357,0.0,0.0,-0.0179224776617192,0.0179224776617192
Location_Florida,0.25138966092273485,0.26865671641791045,0.0,0.0,0.0172670554951756,0.0172670554951756
Known Threat Flag,0.05252918287937743,0.03731343283582089,0.0,0.0,-0.01521575004355654,0.01521575004355654
Transaction_Weekday_Wednesday,0.1632851584213452,0.14925373134328357,0.0,0.0,-0.014031427078061626,0.014031427078061626
Transaction_Weekday_Saturday,0.16745414118954974,0.1791044776119403,0.0,0.0,0.01165033642239055,0.01165033642239055
Spending Pattern Deviation,0.19983324068927183,0.21144278606965175,0.0,0.0,0.011609545380379921,0.011609545380379921
Type_Deposit,0.34213451917732074,0.35199004975124376,0.0,0.0,0.009855530573923021,0.009855530573923021
Transaction_Weekday_Thursday,0.17245692051139522,0.16293532338308458,0.0,0.0,-0.009521597128310633,0.009521597128310633
Transaction_Day,3.4930516953863258,3.5012437810945274,3.0,3.0,0.008192085708201624,0.008192085708201624
Type_Withdrawal,0.32601445247359645,0.31840796019900497,0.0,0.0,-0.007606492274591481,0.007606492274591481
Login Location Match,0.7063646470261257,0.6990049751243781,1.0,1.0,-0.007359671901747578,0.007359671901747578
Location_Deviation,0.2936353529738744,0.3009950248756219,0.0,0.0,0.007359671901747522,0.007359671901747522
Location_New York,0.2544469149527515,0.25870646766169153,0.0,0.0,0.004259552708940018,0.004259552708940018
User Device Recognition,0.8025291828793775,0.8059701492537313,1.0,1.0,0.003440966374353871,0.003440966374353871
Location_Texas,0.24583101723179543,0.24875621890547264,0.0,0.0,0.0029252016736772135,0.0029252016736772135
Type_Transfer,0.3318510283490828,0.32960199004975127,0.0,0.0,-0.0022490382993315405,0.0022490382993315405
Transaction_Weekday_Monday,0.16342412451361868,0.16169154228855723,0.0,0.0,-0.001732582225061452,0.001732582225061452
Low_Balance,0.0,0.0,0.0,0.0,0.0,0.0
High_Value_Transaction,0.0,0.0,0.0,0.0,0.0,0.0
Transaction_Month,1.0,1.0,1.0,1.0,0.0,0.0
High_Amount_Unusual_Hour,0.0,0.0,0.0,0.0,0.0,0.0
Location_Deviation_High_Amount,0.0,0.0,0.0,0.0,0.0,0.0
