Feature,Importance,Mutual Information,Normal Mean,Suspicious Mean,Mean Difference,Absolute Mean Difference,RF Rank,MI Rank,Mean Difference Rank,Average Rank
Account Balance,0.1529402921279003,0.0038620676553267064,2991.844669260701,2964.075111940298,-27.769557320402782,27.769557320402782,2.0,6.0,3.0,3.6666666666666665
Amount,0.15351572155896792,0.0036180082159993354,4977.050749027238,5021.051592039801,44.000843012562655,44.000843012562655,1.0,8.0,2.0,3.6666666666666665
Transaction_Hour,0.09592240116927901,0.004273375805393886,11.58254585881045,11.971393034825871,0.38884717601542107,0.38884717601542107,5.0,3.0,5.0,4.333333333333333
Spending_Deviation_Amount,0.040810181318458066,0.001778506585766948,983.2697317954418,1077.1192164179104,93.8494846224686,93.8494846224686,6.0,9.0,1.0,5.333333333333333
Amount_Percent_of_Balance,0.15023555935884628,0.0,201.660596741937,205.58657399927034,3.9259772573333294,3.9259772573333294,3.0,13.0,4.0,6.666666666666667
Amount_to_Balance_Ratio,0.15011346365603678,0.0,2.01660596741937,2.0558657399927034,0.03925977257333324,0.03925977257333324,4.0,13.0,6.0,7.666666666666667
Location_California,0.013176079489696051,0.004145128086795902,0.24833240689271818,0.22388059701492538,-0.0244518098777928,0.0244518098777928,18.0,4.0,9.0,10.333333333333334
Type_Deposit,0.01576659282898371,0.0006565969868446153,0.34213451917732074,0.35199004975124376,0.009855530573923021,0.009855530573923021,9.0,11.0,16.0,12.0
Unusual_Hour,0.013273664660187954,0.0,0.32962757087270705,0.2997512437810945,-0.02987632709161253,0.02987632709161253,16.0,13.0,8.0,12.333333333333334
Location_Florida,0.014592809776852999,0.0,0.25138966092273485,0.26865671641791045,0.0172670554951756,0.0172670554951756,13.0,13.0,11.0,12.333333333333334
User Device Recognition,0.01806107265026039,0.003836400903426851,0.8025291828793775,0.8059701492537313,0.003440966374353871,0.003440966374353871,8.0,7.0,23.0,12.666666666666666
Transaction_Day,0.026873382454934477,0.0,3.4930516953863258,3.5012437810945274,0.008192085708201624,0.008192085708201624,7.0,13.0,18.0,12.666666666666666
Login Location Match,0.013234067952858138,0.006052670040347152,0.7063646470261257,0.6990049751243781,-0.007359671901747578,0.007359671901747578,17.0,2.0,20.0,13.0
Transaction_Weekday_Friday,0.009114196584419478,0.0,0.16620344635908837,0.19776119402985073,0.03155774767076236,0.03155774767076236,21.0,13.0,7.0,13.666666666666666
Type_Withdrawal,0.015589487131830917,0.0,0.32601445247359645,0.31840796019900497,-0.007606492274591481,0.007606492274591481,11.0,13.0,19.0,14.333333333333334
Transaction_Weekday_Sunday,0.008138341096023766,0.0,0.16717620900500277,0.14925373134328357,-0.0179224776617192,0.0179224776617192,23.0,13.0,10.0,15.333333333333334
Spending Pattern Deviation,0.010706179359648611,0.0,0.19983324068927183,0.21144278606965175,0.011609545380379921,0.011609545380379921,19.0,13.0,15.0,15.666666666666666
Transaction_Weekday_Saturday,0.009250863421080358,0.0,0.16745414118954974,0.1791044776119403,0.01165033642239055,0.01165033642239055,20.0,13.0,14.0,15.666666666666666
Location_New York,0.015194202604169874,0.0,0.2544469149527515,0.25870646766169153,0.004259552708940018,0.004259552708940018,12.0,13.0,22.0,15.666666666666666
Transaction_Weekday_Wednesday,0.007160790753986838,0.0008152911251739781,0.1632851584213452,0.14925373134328357,-0.014031427078061626,0.014031427078061626,25.0,10.0,13.0,16.0
Type_Transfer,0.015612426827113276,0.0,0.3318510283490828,0.32960199004975127,-0.0022490382993315405,0.0022490382993315405,10.0,13.0,25.0,16.0
Location_Deviation,0.013541552378167869,0.0,0.2936353529738744,0.3009950248756219,0.007359671901747522,0.007359671901747522,15.0,13.0,21.0,16.333333333333332
Location_Texas,0.014105471637839324,0.0,0.24583101723179543,0.24875621890547264,0.0029252016736772135,0.0029252016736772135,14.0,13.0,24.0,17.0
Known Threat Flag,0.006883810712117779,0.0,0.05252918287937743,0.03731343283582089,-0.01521575004355654,0.01521575004355654,26.0,13.0,12.0,17.0
Transaction_Weekday_Thursday,0.00888823448252119,0.0,0.17245692051139522,0.16293532338308458,-0.009521597128310633,0.009521597128310633,22.0,13.0,17.0,17.333333333333332
Transaction_Month,0.0,0.0065397568816032425,1.0,1.0,0.0,0.0,27.0,1.0,27.0,18.333333333333332
High_Value_Transaction,0.0,0.004099351655192818,0.0,0.0,0.0,0.0,27.0,5.0,27.0,19.666666666666668
Transaction_Weekday_Monday,0.007299154007818721,0.0,0.16342412451361868,0.16169154228855723,-0.001732582225061452,0.001732582225061452,24.0,13.0,26.0,21.0
Location_Deviation_High_Amount,0.0,0.0003193939647094801,0.0,0.0,0.0,0.0,27.0,12.0,27.0,22.0
High_Amount_Unusual_Hour,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,27.0,22.333333333333332
Low_Balance,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,27.0,22.333333333333332
