Feature,Mutual Information
Transaction_Month,0.0065397568816032425
Login Location Match,0.006052670040347152
Transaction_Hour,0.004273375805393886
Location_California,0.004145128086795902
High_Value_Transaction,0.004099351655192818
Account Balance,0.0038620676553267064
User Device Recognition,0.003836400903426851
Amount,0.0036180082159993354
Spending_Deviation_Amount,0.001778506585766948
Transaction_Weekday_Wednesday,0.0008152911251739781
Type_Deposit,0.0006565969868446153
Location_Deviation_High_Amount,0.0003193939647094801
Known Threat Flag,0.0
Spending Pattern Deviation,0.0
Transaction_Day,0.0
Location_Deviation,0.0
Amount_Percent_of_Balance,0.0
Amount_to_Balance_Ratio,0.0
Low_Balance,0.0
Unusual_Hour,0.0
Type_Transfer,0.0
Type_Withdrawal,0.0
High_Amount_Unusual_Hour,0.0
Location_Florida,0.0
Location_New York,0.0
Transaction_Weekday_Friday,0.0
Location_Texas,0.0
Transaction_Weekday_Monday,0.0
Transaction_Weekday_Saturday,0.0
Transaction_Weekday_Sunday,0.0
Transaction_Weekday_Thursday,0.0
