Feature,Total Occurrences,Normal Count,Suspicious Count,Suspicious Rate
Transaction_Weekday_Friday,1692,1496,196,0.11583924349881797
Transaction_Weekday_Saturday,1685,1496,189,0.11216617210682493
Location_Florida,2505,2233,272,0.10858283433133732
Location_Deviation,2965,2651,314,0.10590219224283305
Type_Deposit,3458,3102,356,0.10294968189705032
Type_Transfer,3314,2983,331,0.09987929993964997
Location_New York,2531,2280,251,0.09917028842354801
Type_Withdrawal,3228,2910,318,0.09851301115241635
Location_Texas,2500,2254,246,0.0984
Transaction_Weekday_Monday,1641,1482,159,0.09689213893967093
Transaction_Weekday_Thursday,1710,1546,164,0.09590643274853801
Location_California,2464,2228,236,0.09577922077922078
Transaction_Weekday_Wednesday,1598,1447,151,0.09449311639549436
Transaction_Weekday_Sunday,1674,1528,146,0.08721624850657109
Location_Deviation_High_Amount,0,0,0,0.0
