Threshold,Accuracy,Error_Rate,Precision,Recall,F1_Score,F2_Score,Youden_J,True_Negatives,False_Positives,False_Negatives,True_Positives,FPR,Total_Cost
0.05,0.946,0.05400000000000005,0.6513157894736842,0.99,0.7857142857142857,0.8967391304347826,0.9311111111111111,1694,106,2,198,0.058888888888888886,4650.0
0.1,0.957,0.04300000000000004,0.7021276595744681,0.99,0.8215767634854771,0.9149722735674677,0.9433333333333334,1716,84,2,198,0.04666666666666667,4100.0
0.15,0.966,0.03400000000000003,0.75,0.99,0.853448275862069,0.9304511278195489,0.9533333333333334,1734,66,2,198,0.03666666666666667,3650.0
0.2,0.9685,0.03149999999999997,0.7644787644787645,0.99,0.8627450980392157,0.9348441926345609,0.9561111111111111,1739,61,2,198,0.03388888888888889,3525.0
0.25,0.971,0.029000000000000026,0.7795275590551181,0.99,0.8722466960352423,0.9392789373814042,0.9588888888888889,1744,56,2,198,0.03111111111111111,3400.0
0.3,0.974,0.026000000000000023,0.7983870967741935,0.99,0.8839285714285714,0.9446564885496184,0.9622222222222222,1750,50,2,198,0.027777777777777776,3250.0
0.35,0.9785,0.021499999999999964,0.8284518828451883,0.99,0.9020501138952164,0.9528392685274302,0.9672222222222222,1759,41,2,198,0.02277777777777778,3025.0
0.4,0.9805,0.019499999999999962,0.8454935622317596,0.985,0.9099307159353349,0.9535333978702807,0.965,1764,36,3,197,0.02,3900.0
0.45,0.982,0.018000000000000016,0.8628318584070797,0.975,0.9154929577464789,0.9502923976608187,0.9577777777777777,1769,31,5,195,0.017222222222222222,5775.0
0.5,0.983,0.017000000000000015,0.8738738738738738,0.97,0.919431279620853,0.949119373776908,0.9544444444444444,1772,28,6,194,0.015555555555555555,6700.0
0.55,0.9825,0.01749999999999996,0.8873239436619719,0.945,0.9152542372881356,0.932872655478776,0.9316666666666666,1776,24,11,189,0.013333333333333334,11600.0
0.6,0.9815,0.01849999999999996,0.8899521531100478,0.93,0.9095354523227384,0.9217046580773043,0.9172222222222223,1777,23,14,186,0.012777777777777779,14575.0
0.65,0.982,0.018000000000000016,0.905940594059406,0.915,0.9104477611940298,0.9131736526946108,0.9044444444444445,1781,19,17,183,0.010555555555555556,17475.0
0.7,0.9845,0.015499999999999958,0.9289340101522843,0.915,0.9219143576826196,0.917753259779338,0.9072222222222223,1786,14,17,183,0.0077777777777777776,17350.0
0.75,0.9845,0.015499999999999958,0.9333333333333333,0.91,0.9215189873417722,0.914572864321608,0.9027777777777778,1787,13,18,182,0.007222222222222222,18325.0
0.8,0.9815,0.01849999999999996,0.9312169312169312,0.88,0.9048843187660668,0.8897876643073812,0.8727777777777778,1787,13,24,176,0.007222222222222222,24325.0
0.85,0.978,0.02200000000000002,0.9333333333333333,0.84,0.8842105263157894,0.8571428571428571,0.8333333333333333,1788,12,32,168,0.006666666666666667,32300.0
0.9,0.9755,0.024499999999999966,0.9467455621301775,0.8,0.8672086720867209,0.8255933952528379,0.795,1791,9,40,160,0.005,40225.0
0.95,0.974,0.026000000000000023,0.9683544303797469,0.765,0.8547486033519553,0.7985386221294363,0.7622222222222222,1795,5,47,153,0.002777777777777778,47125.0
