Transaction ID,Timestamp,Sender Account ID,Receiver Account ID,Amount,Type,Device ID,IP Address,Location,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation,Fraud Probability,Risk Score,Risk Level,Prediction,Decision Threshold,Model Classification
T3227,2025-01-04 14:12:55,A29522,B20558,91.62,Transfer,D442,240.44.160.60,California,1731.17,1,0,0,0,1,0.999961,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T9896,2025-01-03 10:04:47,A37949,B16557,1508.2,Transfer,D700,28.75.81.165,Texas,2615.26,1,0,0,0,1,0.999984,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T6414,2025-01-03 06:40:46,A53555,B46827,9593.98,Transfer,D740,77.91.76.247,Florida,3915.88,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T6711,2025-01-03 12:33:00,A69660,B77803,3921.94,Deposit,D246,93.164.108.147,New York,1356.45,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T6369,2025-01-02 03:46:17,A43741,B14122,1712.69,Withdrawal,D302,62.60.98.36,California,2967.71,1,0,0,0,1,0.999983,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T7768,2025-01-04 10:44:03,A97745,B12859,4852.9,Transfer,D342,28.47.71.62,New York,4795.54,1,0,0,0,1,0.999999,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T0368,2025-01-02 09:36:15,A27794,B27587,3586.43,Deposit,D100,112.100.129.202,California,4678.58,1,0,0,0,1,0.999991,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T1145,2025-01-03 12:07:44,A75305,B66422,7437.88,Withdrawal,D671,187.115.66.149,California,4378.45,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T8097,2025-01-01 08:03:12,A32559,B29309,2727.62,Withdrawal,D115,131.182.101.89,Texas,2921.13,1,1,1,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T1963,2025-01-03 12:09:01,A22336,B59314,9187.73,Withdrawal,D721,229.6.186.58,Florida,2997.52,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T2584,2025-01-05 14:10:05,A89071,B87347,9973.83,Transfer,D463,87.101.125.207,Texas,1482.48,1,0,0,1,1,0.99995,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T8595,2025-01-05 05:45:30,A97171,B61570,1479.19,Deposit,D967,130.79.60.210,Florida,2976.43,1,0,1,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T1737,2025-01-03 09:40:06,A45851,B15830,1248.11,Deposit,D440,252.170.39.172,New York,2818.02,1,0,0,0,1,0.99997,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T9441,2025-01-03 07:53:59,A77035,B15456,8194.32,Transfer,D647,53.53.9.81,Florida,1697.14,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T6500,2025-01-03 09:32:19,A29056,B75481,6241.76,Transfer,D201,90.55.131.105,New York,3619.4,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T3035,2025-01-05 21:29:10,A72894,B71351,9758.83,Deposit,D695,116.148.109.223,Florida,3687.11,1,0,1,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T7451,2025-01-02 19:22:57,A97329,B58180,7324.49,Transfer,D993,125.41.50.49,Florida,1635.52,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T5627,2025-01-03 02:39:45,A30102,B57163,3469.27,Deposit,D314,120.124.51.10,Texas,3269.97,1,0,0,0,1,0.999998,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T2080,2025-01-01 07:43:08,A76055,B90570,824.73,Transfer,D875,187.173.32.30,California,2184.55,1,0,1,0,0,0.999998,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T8986,2025-01-01 16:19:15,A42646,B70572,5580.92,Withdrawal,D906,145.179.159.228,Florida,2831.26,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T5529,2025-01-05 21:00:17,A57003,B18299,8554.47,Withdrawal,D985,139.45.110.198,Florida,2333.43,1,1,1,1,1,0.999978,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T6520,2025-01-01 22:08:18,A82328,B21971,3015.9,Transfer,D440,250.143.182.246,New York,4394.78,1,0,0,0,1,0.999983,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T2123,2025-01-03 13:38:08,A20794,B37424,3789.44,Transfer,D543,184.87.74.122,Texas,2941.96,1,0,0,0,1,0.999999,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T4923,2025-01-05 21:40:02,A41969,B68204,1475.7,Withdrawal,D155,28.205.35.34,Texas,2454.15,1,0,0,0,1,0.999984,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T1581,2025-01-05 05:46:47,A45281,B66977,9284.76,Transfer,D410,90.160.146.24,California,4041.86,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T0365,2025-01-01 08:25:06,A83568,B40856,2472.81,Deposit,D285,47.228.212.215,New York,4078.64,1,0,0,0,1,0.999977,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T4850,2025-01-04 16:15:12,A35792,B91132,9366.95,Transfer,D278,76.79.106.178,Texas,2505.16,1,1,0,0,1,0.999958,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
