Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TN,FP,FN,TP
0.1,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.11,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.12,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.13,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.14,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.15,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.16,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.17,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.18,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.19,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.2,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.21,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.22,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.23,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.24,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.25,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.26,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.27,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.28,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.29,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.3,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.31,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.32,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.33,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.34,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.35,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.36,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.37,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.38,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.39,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.4,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.41,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.42,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.43,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.44,0.1005,0.1005,1.0,0.18264425261244888,0.5015490225360136,0.1022618886775383,0,7196,0,804
0.45,0.100875,0.10033779557112474,0.9975124378109452,0.18233488689325908,0.5015490225360136,0.1022618886775383,5,7191,2,802
0.46,0.1035,0.1,0.9900497512437811,0.1816522136010954,0.5015490225360136,0.1022618886775383,32,7164,8,796
0.47,0.116375,0.0998850427896283,0.972636815920398,0.18116529595737288,0.5015490225360136,0.1022618886775383,149,7047,22,782
0.48,0.163875,0.09971432458168956,0.9116915422885572,0.17976701410177806,0.5015490225360136,0.1022618886775383,578,6618,71,733
0.49,0.307125,0.09940828402366864,0.7313432835820896,0.17502604554249143,0.5015490225360136,0.1022618886775383,1869,5327,216,588
0.5,0.568125,0.10397370779802809,0.43283582089552236,0.16767044085762467,0.5015490225360136,0.1022618886775383,4197,2999,456,348
0.51,0.761875,0.10310021629416005,0.17786069651741293,0.13053400273847557,0.5015490225360136,0.1022618886775383,5952,1244,661,143
0.52,0.85,0.10869565217391304,0.06840796019900497,0.08396946564885496,0.5015490225360136,0.1022618886775383,6745,451,749,55
0.53,0.878875,0.10900473933649289,0.028606965174129355,0.04532019704433497,0.5015490225360136,0.1022618886775383,7008,188,781,23
0.54,0.89125,0.10714285714285714,0.011194029850746268,0.02027027027027027,0.5015490225360136,0.1022618886775383,7121,75,795,9
0.55,0.8965,0.125,0.004975124378109453,0.009569377990430622,0.5015490225360136,0.1022618886775383,7168,28,800,4
0.56,0.898,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7184,12,804,0
0.57,0.89925,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7194,2,804,0
0.58,0.899375,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7195,1,804,0
0.59,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.6,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.61,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.62,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.63,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.64,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.65,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.66,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.67,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.68,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.69,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.7,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.71,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.72,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.73,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.74,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.75,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.76,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.77,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.78,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.79,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.8,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.81,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.82,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.83,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.84,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.85,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.86,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.87,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.88,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.89,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
0.9,0.8995,0.0,0.0,0.0,0.5015490225360136,0.1022618886775383,7196,0,804,0
