Threshold,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
0.4,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.41,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.42,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.43,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.44,0.101,0.10055027513756878,1.0,0.18272727272727274,4,7192,0,804
0.45,0.101625,0.10021295252411375,0.9950248756218906,0.18208717423466483,13,7183,4,800
0.46,0.107375,0.09988634928652608,0.9838308457711443,0.1813596239825748,68,7128,13,791
0.47,0.130625,0.10001300559240474,0.9564676616915423,0.1810903096667844,276,6920,35,769
0.48,0.1935,0.09772079772079773,0.8532338308457711,0.17535787321063395,862,6334,118,686
0.49,0.32225,0.09745467224546722,0.695273631840796,0.1709480122324159,2019,5177,245,559
0.5,0.489375,0.09702775730778679,0.49129353233830847,0.16205128205128205,3520,3676,409,395
0.51,0.661375,0.09137709137709138,0.26492537313432835,0.13588516746411483,5078,2118,591,213
0.52,0.7995,0.0967741935483871,0.11940298507462686,0.10690423162583519,6300,896,708,96
0.53,0.869875,0.08421052631578947,0.029850746268656716,0.0440771349862259,6935,261,780,24
0.54,0.89225,0.09722222222222222,0.008706467661691543,0.01598173515981735,7131,65,797,7
0.55,0.8985,0.16666666666666666,0.0024875621890547263,0.004901960784313725,7186,10,802,2
