Threshold,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
0.1,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.15,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.2,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.25,0.100875,0.10043777360850531,0.9987562189054726,0.18252074099329468,4,7192,1,803
0.3,0.101375,0.09998747024182433,0.9925373134328358,0.18167330677290836,13,7183,6,798
0.35,0.105125,0.1000629326620516,0.9888059701492538,0.18173505543490684,46,7150,9,795
0.4,0.1215,0.0998971457958344,0.9664179104477612,0.18107667210440456,195,7001,27,777
0.41,0.13025,0.0998699609882965,0.9552238805970149,0.18083352955027077,274,6922,36,768
0.42,0.14525,0.10018552875695733,0.9402985074626866,0.18107784431137725,406,6790,48,756
0.43,0.163625,0.09979605710401088,0.9129353233830846,0.17992401029537933,575,6621,70,734
0.44,0.190875,0.09981646195115064,0.8793532338308457,0.1792823633827818,820,6376,97,707
0.45,0.231375,0.0998652492888157,0.8296019900497512,0.17827074702659362,1184,6012,137,667
0.46,0.282875,0.09913863156183975,0.7587064676616916,0.1753629437976139,1653,5543,194,610
0.47,0.357375,0.10189094914631908,0.6902985074626866,0.17757158854583266,2304,4892,249,555
0.48,0.43475,0.09674620390455531,0.554726368159204,0.1647580347247876,3032,4164,358,446
0.49,0.523,0.0968950749464668,0.4502487562189055,0.15947136563876652,3822,3374,442,362
0.5,0.610125,0.0982297813259285,0.35199004975124376,0.15359565807327002,4598,2598,521,283
0.51,0.685375,0.09618104667609619,0.2537313432835821,0.13948717948717948,5279,1917,600,204
0.52,0.756875,0.09738884968242767,0.17164179104477612,0.12426834759117515,5917,1279,666,138
0.53,0.8125,0.1,0.10820895522388059,0.1039426523297491,6413,783,717,87
0.54,0.858125,0.10501193317422435,0.05472636815920398,0.07195421095666395,6821,375,760,44
0.55,0.879125,0.09852216748768473,0.024875621890547265,0.039721946375372394,7013,183,784,20
0.56,0.892,0.0945945945945946,0.008706467661691543,0.015945330296127564,7129,67,797,7
0.57,0.89725,0.09090909090909091,0.0024875621890547263,0.004842615012106538,7176,20,802,2
0.58,0.898875,0.14285714285714285,0.0012437810945273632,0.002466091245376079,7190,6,803,1
0.59,0.899375,0.0,0.0,0.0,7195,1,804,0
0.6,0.8995,0.0,0.0,0.0,7196,0,804,0
0.65,0.8995,0.0,0.0,0.0,7196,0,804,0
0.7,0.8995,0.0,0.0,0.0,7196,0,804,0
0.75,0.8995,0.0,0.0,0.0,7196,0,804,0
0.8,0.8995,0.0,0.0,0.0,7196,0,804,0
0.85,0.8995,0.0,0.0,0.0,7196,0,804,0
0.9,0.8995,0.0,0.0,0.0,7196,0,804,0
